EventID,DecodedID,EventName,DateTime
Za5ju3rKuqZDdoQcpuwevv0D2Oti2SLqT_,R250412,Dallas Mavericks vs Toronto Raptors,2025-04-12 00:30:00+00:00
177ZvOG62Xcxd-o,L250412,Toronto Maple Leafs vs. Montreal Canadiens,2025-04-12 23:00:00+00:00
Za5ju3rKuqZBBr9cpvn-ZX1U_vqeeC_Th,L250412,Toronto Maple Leafs vs Montreal Canadiens,2025-04-12 23:00:00+00:00
Za5ju3rKuqZDdTjzrB0Wg1kFjgaEbIf1hN,L250412,Toronto Maple Leafs vs Montreal Canadiens,2025-04-12 23:00:00+00:00
Za5ju3rKuqZDdt6a1e3EqCCDM_jyupd20Q,L250412,Toronto Maple Leafs vs Montreal Canadiens,2025-04-12 23:00:00+00:00
Za5ju3rKuqZDvG7zTrSty7r14drDY2dpDk,L250412,Toronto Maple Leafs vs Montreal Canadiens,2025-04-12 23:00:00+00:00
Za5ju3rKuqZDvNtve6EOtFbzuPB49l550P,L250412,Toronto Maple Leafs vs Montreal Canadiens,2025-04-12 23:00:00+00:00
Za5ju3rKuqZDvPpzFjT_-Zl1W0WD8jfPFy,R250413,Toronto Raptors  Visiting Guest Passes,2025-04-13 19:30:00+00:00
Za5ju3rKuqZDdw2y5KmIqFU5LShPId1HO1,R250413,Frost Club Pass- Toronto Raptors,2025-04-13 19:30:00+00:00
G5dIZb8wjs3GD,R250413,San Antonio Spurs vs. Toronto Raptors,2025-04-13 19:30:00+00:00
Za5ju3rKuqZDviD6HFwt46ZyYuMoZrJIkl,L250413,Carolina Hurricanes vs Toronto Maple Leafs,2025-04-13 21:00:00+00:00
Za5ju3rKuqZDdyn4o8IrqFJa5ubR4iH_7l,L250413,Carolina Hurricanes vs Toronto Maple Leafs,2025-04-13 21:00:00+00:00
G5eVZb2rBUF1J,L250413,Carolina Hurricanes vs. Toronto Maple Leafs,2025-04-13 21:00:00+00:00
Za5ju3rKuqZBzmAaWMjaF3lCO8mTK5eB-,L250415,Buffalo Sabres vs. Toronto Maple Leafs-Rental,2025-04-15 23:00:00+00:00
Za5ju3rKuqZDdQmzASKdu1FBsGTu_9Qsdm,L250415,Buffalo Sabres vs. Toronto Maple Leafs Host Pass,2025-04-15 23:00:00+00:00
k7vGFbb9WP9B_,L250415,Buffalo Sabres vs. Toronto Maple Leafs - Suite Rental,2025-04-15 23:00:00+00:00
k7vGFbulQ3bcX,L250415,Buffalo Sabres vs. Toronto Maple Leafs,2025-04-15 23:00:00+00:00
Za5ju3rKuqZDvfGlscYNuZl1MCZreZOgnZ,L250417,Toronto Maple Leafs vs Detroit Red Wings,2025-04-17 23:00:00+00:00
177ZvOG62XcNK-f,L250417,Toronto Maple Leafs vs. Detroit Red Wings,2025-04-17 23:00:00+00:00
Za5ju3rKuqZDdOoc-jT0tkAbmLrNDJKTnK,L250417,Toronto Maple Leafs vs Detroit Red Wings,2025-04-17 23:00:00+00:00
Za5ju3rKuqZDeF_TUzgz-uphFTUaDQuKgq,L250417,Toronto Maple Leafs vs Detroit Red Wings,2025-04-17 23:00:00+00:00
Za5ju3rKuqZDesCrLiLZA6Ta4KQbKCCSAv,L250417,Toronto Maple Leafs vs Detroit Red Wings,2025-04-17 23:00:00+00:00
Za5ju3rKuqZDevxKIOflgv2_qjY8Vl1NTx,L250417,Toronto Maple Leafs vs Detroit Red Wings,2025-04-17 23:00:00+00:00
Za5ju3rKuqZDesEHIs8nvapBG96CkbU1VF,L250601,Toronto Maple Leafs vs Montreal Canadiens,2025-06-01 23:00:00+00:00
Za5ju3rKuqZDd9sP5dLkPFFbfMIQiBcEhL,R250602,Toronto Raptors TEST,2025-06-02 00:00:00+00:00
